Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/TestEpRet,Metrics/TestEpCost,Metrics/TestEpLen,Train/Epoch,Train/LR,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward_critic,Time/Total,Time/Rollout,Time/Update,Time/Evaluate,Time/Epoch,Time/FPS,Value/alpha
-10840.84375,833.9557495117188,8759.0,-7016.18603515625,833.9557495117188,8759.0,0.0,0.0003000000142492354,8759.0,0.0,0.0,0.0,0.0,0.0,39.592010498046875,18.679899215698242,0.09166526794433594,20.80628776550293,39.592010498046875,221.23150634765625,0.20000003278255463
-9270.4375,833.9557495117188,8759.0,-6875.208984375,833.9557495117188,8759.0,1.0,0.0003000000142492354,17518.0,-2.1716084480285645,-2.1716084480285645,0.5016976594924927,0.5016976594924927,2.3121566772460938,165.75711059570312,25.230846405029297,82.25953674316406,18.61553955078125,126.14207458496094,69.43757629394531,0.20000001788139343
-8624.703125,833.9557495117188,8759.0,-6765.89404296875,833.9557495117188,8759.0,2.0,0.0003000000142492354,26277.0,-5.846124649047852,-3.674516201019287,0.6427586674690247,0.14106100797653198,5.828758716583252,295.09112548828125,23.780664443969727,86.95748901367188,18.555282592773438,129.32504272460938,67.72856903076172,0.20000004768371582
-8269.9521484375,833.9557495117188,8759.0,-6704.91455078125,833.9557495117188,8759.0,3.0,0.0003000000142492354,35036.0,-6.887731075286865,-1.0416064262390137,0.6439736485481262,0.0012149810791015625,6.925840854644775,424.0701904296875,23.779972076416016,86.55354309082031,18.606056213378906,128.97088623046875,67.91455841064453,0.20000003278255463
-8028.7333984375,833.9557495117188,8759.0,-6668.1376953125,833.9557495117188,8759.0,4.0,0.0003000000142492354,43795.0,-6.986931324005127,-0.09920024871826172,0.6373471021652222,-0.006626546382904053,7.058573246002197,553.6322631835938,23.835281372070312,87.08223724365234,18.604223251342773,129.5540313720703,67.6088638305664,0.20000004768371582
-7864.81103515625,833.9557495117188,8759.0,-6643.31103515625,833.9557495117188,8759.0,5.0,0.0003000000142492354,52554.0,-6.654226779937744,0.3327045440673828,0.6362385749816895,-0.0011085271835327148,6.746589183807373,683.3538208007812,23.757427215576172,87.41295623779297,18.510923385620117,129.71290588378906,67.52604675292969,0.20000003278255463
-7734.75634765625,833.9556884765625,8759.0,-6619.1318359375,833.9556884765625,8759.0,6.0,0.0003000000142492354,61313.0,-6.136651515960693,0.5175752639770508,0.6312317848205566,-0.0050067901611328125,6.2408766746521,812.0916748046875,23.583507537841797,86.61517333984375,18.498836517333984,128.72970581054688,68.04179382324219,0.20000004768371582
-7636.541015625,833.9556884765625,8759.0,-6596.62353515625,833.9556884765625,8759.0,7.0,0.0003000000142492354,70072.0,-5.554703712463379,0.5819478034973145,0.6244428753852844,-0.006788909435272217,5.6662068367004395,940.8485107421875,23.490009307861328,86.60859680175781,18.619035720825195,128.74932861328125,68.03142547607422,0.20000003278255463
-7558.6337890625,833.9556884765625,8759.0,-6573.07177734375,833.9556884765625,8759.0,8.0,0.0003000000142492354,78831.0,-5.006840229034424,0.5478634834289551,0.619165301322937,-0.005277574062347412,5.117459774017334,1069.5352783203125,23.45807456970215,86.66547393798828,18.52379608154297,128.67868041992188,68.06877136230469,0.20000004768371582
-7497.125,833.9556884765625,8759.0,-6556.4189453125,833.9556884765625,8759.0,9.0,0.0003000000142492354,87590.0,-4.453611850738525,0.5532283782958984,0.614030122756958,-0.005135178565979004,4.573592662811279,1198.2813720703125,23.522212982177734,86.61687469482422,18.567214965820312,128.73814392089844,68.0373306274414,0.20000003278255463
