Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep
-190648.765625,2113.036865234375,8759.0,0.0,1.4124122858047485,0.00047387421363964677,10.0,1.0075006484985352,1.0075006484985352,1.0075006484985352,0.005303815472871065,0.0,0.993915319442749,8759.0,-0.07891250401735306,-0.07891250401735306,1.3065523107869126e-09,13.17247486114502,13.17247486114502,0.0841546356678009,239.5312042236328,237.35328674316406,2.1776959896087646,239.531005859375,36.567291259765625,0.47294434905052185,0.6570215225219727,0.20881912112236023,0.2682447135448456,1.3892154693603516,1.0
-189784.15625,2114.254150390625,8759.0,1.0,1.396284580230713,0.00047768151853233576,10.0,1.0071377754211426,1.0071377754211426,1.0071377754211426,0.005047169514000416,0.0,0.978632926940918,17518.0,-0.08323733508586884,-0.004324831068515778,-9.581383686452227e-09,16.576229095458984,3.403754234313965,1.1188863515853882,475.16644287109375,233.53028869628906,2.0929930210113525,235.623291015625,37.173744201660156,0.4649486839771271,0.659835696220398,0.20966465771198273,0.27754998207092285,1.4191581010818481,1.0
-188387.765625,2116.74609375,8759.0,2.0,1.3764225244522095,0.00044848283869214356,10.0,1.0022529363632202,1.0022529363632202,1.0022529363632202,0.0015930384397506714,0.0,0.9596832394599915,26277.0,-0.07964358478784561,0.003593750298023224,8.165952358751838e-09,16.6529598236084,0.07673072814941406,1.4232232570648193,709.543701171875,232.4477996826172,1.9137678146362305,234.36158752441406,37.373870849609375,0.4818613827228546,0.6710828542709351,0.19854354858398438,0.2584086060523987,1.3926886320114136,1.0
-187104.25,2119.368408203125,8759.0,3.0,1.3618947267532349,0.0004453830188140273,10.0,1.001412034034729,1.001412034034729,1.001412034034729,0.0009984868811443448,0.0,0.9461659789085388,35036.0,-0.08037609606981277,-0.0007325112819671631,1.04524184862953e-08,15.789220809936523,-0.863739013671875,2.327205181121826,952.9690551757812,241.26251220703125,2.152622938156128,243.41514587402344,35.98379135131836,0.45997679233551025,0.6642077565193176,0.20966631174087524,0.28358250856399536,1.4440027475357056,1.0
-185756.1875,2121.22802734375,8759.0,4.0,1.3471218347549438,0.0005031554610468447,10.0,1.0053281784057617,1.0053281784057617,1.0053281784057617,0.003767590969800949,0.0,0.9330193996429443,43795.0,-0.08941078186035156,-0.009034685790538788,-2.8308633215345935e-09,15.641191482543945,-0.14802932739257812,3.021850347518921,1191.5621337890625,236.40423583984375,2.1625988483428955,238.5668487548828,36.7150764465332,0.44593313336372375,0.6531174778938293,0.22285710275173187,0.3017253279685974,1.4646086692810059,1.0
-184495.015625,2122.520751953125,8759.0,5.0,1.3256745338439941,0.0005333826411515474,10.0,1.0055022239685059,1.0055022239685059,1.0055022239685059,0.0038906598929315805,0.0,0.9132661819458008,52554.0,-0.09173756092786789,-0.002326779067516327,1.6331904717503676e-08,15.319605827331543,-0.32158565521240234,4.281862735748291,1425.5633544921875,232.1819610595703,1.8092548847198486,233.99122619628906,37.43302917480469,0.42367130517959595,0.6454149484634399,0.2421637326478958,0.334266722202301,1.5233858823776245,1.0
-183110.515625,2124.251708984375,8759.0,6.0,1.3165171146392822,0.000527738593518734,10.0,1.0107823610305786,1.0107823610305786,1.0107823610305786,0.007624308578670025,0.0,0.905005156993866,61313.0,-0.09386416524648666,-0.0021266043186187744,7.131597978826676e-09,14.872233390808105,-0.4473724365234375,5.278071880340576,1658.5076904296875,231.1472625732422,1.7877418994903564,232.9350128173828,37.60276412963867,0.4138580858707428,0.6416851282119751,0.256684273481369,0.3503066301345825,1.5504953861236572,1.0
-181892.25,2125.53271484375,8759.0,7.0,1.299599289894104,0.000586070935241878,10.0,1.0023365020751953,1.0023365020751953,1.0023365020751953,0.0016521564684808254,0.0,0.8903894424438477,70072.0,-0.09939368814229965,-0.005529522895812988,2.1775872216522885e-09,14.227263450622559,-0.6449699401855469,6.4235029220581055,1891.07470703125,230.71685791015625,1.8404178619384766,232.5572967529297,37.66383743286133,0.3980262875556946,0.6377846598625183,0.26007217168807983,0.37872830033302307,1.6023681163787842,1.0
-180520.03125,2127.312255859375,8759.0,8.0,1.2883789539337158,0.0005921002011746168,10.0,1.0002139806747437,1.0002139806747437,1.0002139806747437,0.00015133529086597264,0.0,0.8801941871643066,78831.0,-0.09951607137918472,-0.0001223832368850708,6.097244042990724e-09,13.708889961242676,-0.5183734893798828,7.629333972930908,2125.113037109375,232.1744384765625,1.8531591892242432,234.02761840820312,37.427207946777344,0.3839585483074188,0.6223127245903015,0.3031046986579895,0.40698885917663574,1.6207807064056396,1.0
-179186.46875,2128.9609375,8759.0,9.0,1.2751909494400024,0.0005813119350932539,10.0,1.0112892389297485,1.0112892389297485,1.0112892389297485,0.007982669398188591,0.0,0.869096040725708,87590.0,-0.09235779196023941,0.0071582794189453125,-3.2146630246643326e-08,12.942230224609375,-0.7666597366333008,8.935983657836914,2357.04443359375,229.71142578125,2.2102646827697754,231.9217071533203,37.76705551147461,0.4098060429096222,0.6327068209648132,0.2630607783794403,0.3572683334350586,1.5439178943634033,1.0
