Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-190648.765625,2113.036865234375,8759.0,0.0,1.417327642440796,0.031719326972961426,11.0,0.9969356060028076,0.9969356060028076,0.9969356060028076,0.026316870003938675,0.0002699999895412475,0.9984013438224792,8759.0,-0.03363468125462532,-0.03363468125462532,0.2189180850982666,14.60053825378418,14.60053825378418,0.0841546356678009,229.13290405273438,223.15542602539062,5.976912021636963,229.1323699951172,38.22681427001953
-190281.140625,2112.454833984375,8759.0,1.0,1.4149178266525269,0.032160479575395584,14.0,0.9983279705047607,0.9983279705047607,0.9983279705047607,0.026286136358976364,0.00023999999393709004,0.996012806892395,17518.0,-0.03686648979783058,-0.0032318085432052612,0.2116750180721283,18.84855842590332,4.248020172119141,1.1481574773788452,466.4029235839844,230.0165252685547,7.244115829467773,237.2606658935547,36.91720199584961
-190294.359375,2112.248291015625,8759.0,2.0,1.4139336347579956,0.030491242185235023,12.0,0.9966838955879211,0.9966838955879211,0.9966838955879211,0.02572370320558548,0.0002099999983329326,0.9950550198554993,26277.0,-0.03529855236411095,0.001567937433719635,0.2385610044002533,20.916364669799805,2.0678062438964844,1.3138301372528076,695.5410766601562,222.4279022216797,6.701353073120117,229.1292724609375,38.22732925415039
-190013.765625,2112.988525390625,8759.0,3.0,1.4104944467544556,0.030460353940725327,19.0,1.0003944635391235,1.0003944635391235,1.0003944635391235,0.026260241866111755,0.00018000000272877514,0.9916953444480896,35036.0,-0.04408566653728485,-0.008787114173173904,-0.13561634719371796,18.8356990814209,-2.0806655883789062,1.0585145950317383,933.0338134765625,227.20477294921875,10.278242111206055,237.4830322265625,36.882633209228516
-189656.96875,2113.2958984375,8759.0,4.0,1.408469557762146,0.031220726668834686,17.0,0.9970147609710693,0.9970147609710693,0.9970147609710693,0.024973837658762932,0.0001500000071246177,0.9897119402885437,43795.0,-0.04255373030900955,0.001531936228275299,-0.15575145184993744,17.271141052246094,-1.5645580291748047,1.2396912574768066,1164.492431640625,222.61781311035156,8.83095645904541,231.44879150390625,37.84422302246094
-189383.4375,2113.536376953125,8759.0,5.0,1.4062029123306274,0.030488280579447746,22.0,0.9992730617523193,0.9992730617523193,0.9992730617523193,0.02577974647283554,0.00011999999696854502,0.9875273108482361,52554.0,-0.04694575443863869,-0.004392024129629135,0.04429716616868973,15.78851318359375,-1.4826278686523438,1.4486631155014038,1396.632080078125,220.5355224609375,11.594993591308594,232.1305389404297,37.73308181762695
-189025.859375,2114.280517578125,8759.0,6.0,1.402279257774353,0.030178846791386604,36.0,0.996569037437439,0.996569037437439,0.996569037437439,0.025640880689024925,9.000000136438757e-05,0.9836933612823486,61313.0,-0.054717447608709335,-0.007771693170070648,-0.03006654605269432,12.31092357635498,-3.4775896072387695,1.7372044324874878,1635.5400390625,220.0278778076172,18.8705997467041,238.89849853515625,36.66410446166992
-188779.140625,2114.932373046875,8759.0,7.0,1.3982725143432617,0.02750921994447708,40.0,0.998877763748169,0.998877763748169,0.998877763748169,0.024585071951150894,5.999999848427251e-05,0.9797584414482117,70072.0,-0.05409197136759758,0.0006254762411117554,-0.13763432204723358,10.50886058807373,-1.80206298828125,1.9673478603363037,1876.156982421875,220.07757568359375,20.528566360473633,240.60617065429688,36.40388870239258
-188447.375,2115.4736328125,8759.0,8.0,1.3958255052566528,0.024495437741279602,40.0,0.9994003176689148,0.9994003176689148,0.9994003176689148,0.02352936752140522,2.9999999242136255e-05,0.9773718118667603,78831.0,-0.051479823887348175,0.002612147480249405,0.0959366038441658,9.374529838562012,-1.1343307495117188,2.1441147327423096,2116.9873046875,220.2816162109375,20.53734588623047,240.81898498535156,36.37171936035156
-188152.234375,2115.927001953125,8759.0,9.0,1.3935940265655518,0.01801615208387375,40.0,0.996468186378479,0.996468186378479,0.996468186378479,0.019551392644643784,0.0,0.9751771092414856,87590.0,-0.04324567690491676,0.008234146982431412,0.10160022974014282,8.429668426513672,-0.9448614120483398,2.478025197982788,2357.600341796875,219.88478088378906,20.716655731201172,240.60145568847656,36.40460205078125
