Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
34123.7734375,32629.05078125,6.480000019073486,0.0,1.4103585481643677,0.0040276022627949715,40.0,1.0002754926681519,1.0002754926681519,1.0002754926681519,0.011148498393595219,0.0002699999895412475,0.991509199142456,20000.0,-0.26743191480636597,-0.26743191480636597,0.06662595272064209,519788128.0,519788128.0,-0.010621840134263039,529859936.0,529859936.0,0.12234577536582947,71.60867309570312,10.754761695861816,60.85367965698242,71.60848236083984,279.2965087890625,0.035999998450279236,0.035999998450279236,0.035999998450279236,0.0
34602.8203125,33974.65234375,6.78000020980835,1.0,1.4091922044754028,0.0029671324882656336,40.0,0.9993919134140015,0.9993919134140015,0.9993919134140015,0.010145613923668861,0.00023999999393709004,0.9904552698135376,40000.0,-1.1686509847640991,-0.9012190699577332,-0.1818086951971054,530086144.0,10298016.0,249.60499572753906,525183104.0,-4676832.0,249.85862731933594,139.84373474121094,10.92591381072998,57.290313720703125,68.21624755859375,293.1852722167969,0.07102970778942108,0.07102970778942108,0.07102970778942108,0.0
32134.2734375,30606.57421875,6.599999904632568,2.0,1.4085019826889038,0.003255158895626664,40.0,1.000378131866455,1.000378131866455,1.000378131866455,0.010025222785770893,0.0002099999983329326,0.9897376894950867,60000.0,-2.0278303623199463,-0.8591793775558472,0.1464981585741043,522159936.0,-7926208.0,493.6884460449219,525827360.0,644256.0,493.9423522949219,206.93663024902344,10.902250289916992,56.17162322998047,67.07389831542969,298.1785888671875,0.10591888427734375,0.10591888427734375,0.10591888427734375,0.0
36093.77734375,34482.37890625,6.920000076293945,3.0,1.404639720916748,0.004508921876549721,40.0,1.0000258684158325,1.0000258684158325,1.0000258684158325,0.010444959625601768,0.00018000000272877514,0.9859047532081604,80000.0,-3.8432469367980957,-1.8154165744781494,0.20130768418312073,526560160.0,4400224.0,738.1182861328125,538352832.0,12525472.0,738.3720703125,274.6985168457031,10.754925727844238,56.98833465576172,67.74327850341797,295.23223876953125,0.14091679453849792,0.14091679453849792,0.14091679453849792,0.0
33786.75,34272.2109375,6.699999809265137,4.0,1.3977102041244507,0.0041390773840248585,40.0,0.9997013211250305,0.9997013211250305,0.9997013211250305,0.010392273776233196,0.0001500000071246177,0.9791008830070496,100000.0,-4.50230073928833,-0.6590538024902344,0.40269067883491516,523851232.0,-2708928.0,982.5899047851562,520452992.0,-17899840.0,982.8438720703125,341.9809265136719,11.115185737609863,56.14719772338867,67.26240539550781,297.3429260253906,0.17597149312496185,0.17597149312496185,0.17597149312496185,0.0
31610.240234375,31316.4140625,6.239999771118164,5.0,1.3929517269134521,0.004275328014045954,40.0,1.0004945993423462,1.0004945993423462,1.0004945993423462,0.009908833540976048,0.00011999999696854502,0.9745351076126099,120000.0,-4.681345462799072,-0.1790447235107422,-0.020428907126188278,522815104.0,-1036128.0,1226.46728515625,517063040.0,-3389952.0,1226.720703125,409.66748046875,10.720267295837402,56.94673156738281,67.66702270507812,295.5649719238281,0.21091267466545105,0.21091267466545105,0.21091267466545105,0.0
30124.48828125,30052.97265625,6.019999980926514,6.0,1.3902841806411743,0.0036407934967428446,40.0,0.9993087649345398,0.9993087649345398,0.9993087649345398,0.009636607021093369,9.000000136438757e-05,0.9718515872955322,140000.0,-5.9386305809021,-1.2572851181030273,-0.2469010055065155,513879008.0,-8936096.0,1470.163330078125,510737120.0,-6325920.0,1470.416015625,478.221435546875,10.923307418823242,57.61070251464844,68.5340347290039,291.8258056640625,0.24569891393184662,0.24569891393184662,0.24569891393184662,0.0
32988.00390625,31143.087890625,6.480000019073486,7.0,1.3834437131881714,0.003492522519081831,40.0,0.9994103312492371,0.9994103312492371,0.9994103312492371,0.00950607843697071,5.999999848427251e-05,0.9652895331382751,160000.0,-6.51423978805542,-0.5756092071533203,0.04571938514709473,516202400.0,2323392.0,1713.8590087890625,512256000.0,1518880.0,1714.1114501953125,547.1923828125,10.756340026855469,58.19511413574219,68.95147705078125,290.0590515136719,0.28044360876083374,0.28044360876083374,0.28044360876083374,0.0
36500.3828125,35136.34765625,7.0,8.0,1.3723996877670288,0.003954126965254545,40.0,1.000192403793335,1.000192403793335,1.000192403793335,0.010094234719872475,2.9999999242136255e-05,0.954599916934967,180000.0,-9.357758522033691,-2.8435187339782715,-0.249505415558815,504906688.0,-11295712.0,1957.5545654296875,504493376.0,-7762624.0,1957.806640625,618.4561767578125,11.318609237670898,59.92514419555664,71.24378204345703,280.72625732421875,0.3153737485408783,0.3153737485408783,0.3153737485408783,0.0
35607.30859375,35786.00390625,7.0,9.0,1.3686943054199219,0.0034205547999590635,40.0,0.999454915523529,0.999454915523529,0.999454915523529,0.009475478902459145,0.0,0.9510789513587952,200000.0,-7.716263294219971,1.6414952278137207,0.13393265008926392,513624992.0,8718304.0,2202.021484375,510441600.0,5948224.0,2202.277099609375,686.5420532226562,10.999834060668945,57.04315185546875,68.04301452636719,293.9317321777344,0.3504764139652252,0.3504764139652252,0.3504764139652252,0.0
